code,term,hierarchy
G23,Other degenerative diseases of basal ganglia,VI Nervous|Degenerative / demyelinating
G24,Dystonia,VI Nervous|Degenerative / demyelinating
G25,Other extrapyramidal and movement disorders,VI Nervous|Degenerative / demyelinating
G30,Alzheimer disease,VI Nervous|Degenerative / demyelinating
G31,Other degenerative diseases of nervous system NEC,VI Nervous|Degenerative / demyelinating
G35,Multiple sclerosis,VI Nervous|Degenerative / demyelinating
G36,Other acute disseminated demyelination,VI Nervous|Degenerative / demyelinating
G37,Other demyelinating diseases of CNS,VI Nervous|Degenerative / demyelinating
G40,Epilepsy,VI Nervous|Episodic / peripheral / muscle
G41,Status epilepticus,VI Nervous|Episodic / peripheral / muscle
G43,Migraine,VI Nervous|Episodic / peripheral / muscle
G44,Other headache syndromes,VI Nervous|Episodic / peripheral / muscle
G45,Transient cerebral ischaemic attacks and related syndromes,VI Nervous|Episodic / peripheral / muscle
G46,Vascular syndromes of brain in cerebrovascular diseases,VI Nervous|Episodic / peripheral / muscle
G47,Sleep disorders,VI Nervous|Episodic / peripheral / muscle
G50,Disorders of trigeminal nerve,VI Nervous|Episodic / peripheral / muscle
G51,Facial nerve disorders,VI Nervous|Episodic / peripheral / muscle
G52,Disorders of other cranial nerves,VI Nervous|Episodic / peripheral / muscle
G54,Nerve root and plexus disorders,VI Nervous|Episodic / peripheral / muscle
G56,Mononeuropathies of upper limb,VI Nervous|Episodic / peripheral / muscle
G57,Mononeuropathies of lower limb,VI Nervous|Episodic / peripheral / muscle
G60,Hereditary and idiopathic neuropathy,VI Nervous|Episodic / peripheral / muscle
G61,Inflammatory polyneuropathy,VI Nervous|Episodic / peripheral / muscle
G62,Other polyneuropathies,VI Nervous|Episodic / peripheral / muscle
G70,Myasthenia gravis and other myoneural disorders,VI Nervous|Episodic / peripheral / muscle
G71,Primary disorders of muscles,VI Nervous|Episodic / peripheral / muscle
G80,Cerebral palsy,VI Nervous|Episodic / peripheral / muscle
G81,Hemiplegia,VI Nervous|Episodic / peripheral / muscle
G82,Paraplegia and tetraplegia,VI Nervous|Episodic / peripheral / muscle
G83,Other paralytic syndromes,VI Nervous|Episodic / peripheral / muscle
G90,Disorders of autonomic nervous system,VI Nervous|Episodic / peripheral / muscle
G91,Hydrocephalus,VI Nervous|Episodic / peripheral / muscle
G93,Other disorders of brain,VI Nervous|Episodic / peripheral / muscle
G95,Other diseases of spinal cord,VI Nervous|Episodic / peripheral / muscle
G99,Other disorders of nervous system in diseases classified elsewhere,VI Nervous|Episodic / peripheral / muscle
H00,Hordeolum and chalazion,VII Eye|Adnexa / sclera / cornea / lens
H01,Other inflammation of eyelid,VII Eye|Adnexa / sclera / cornea / lens
H02,Other disorders of eyelid,VII Eye|Adnexa / sclera / cornea / lens
H04,Disorders of lacrimal system,VII Eye|Adnexa / sclera / cornea / lens
H05,Disorders of orbit,VII Eye|Adnexa / sclera / cornea / lens
H10,Conjunctivitis,VII Eye|Adnexa / sclera / cornea / lens
H11,Other disorders of conjunctiva,VII Eye|Adnexa / sclera / cornea / lens
H15,Disorders of sclera,VII Eye|Adnexa / sclera / cornea / lens
H16,Keratitis,VII Eye|Adnexa / sclera / cornea / lens
H17,Corneal scars and opacities,VII Eye|Adnexa / sclera / cornea / lens
H18,Other disorders of cornea,VII Eye|Adnexa / sclera / cornea / lens
H20,Iridocyclitis,VII Eye|Adnexa / sclera / cornea / lens
H21,Other disorders of iris and ciliary body,VII Eye|Adnexa / sclera / cornea / lens
H25,Senile cataract,VII Eye|Adnexa / sclera / cornea / lens
H26,Other cataract,VII Eye|Adnexa / sclera / cornea / lens
H27,Other disorders of lens,VII Eye|Adnexa / sclera / cornea / lens
H30,Chorioretinal inflammation,VII Eye|Retina / glaucoma / refraction
H33,Retinal detachments and breaks,VII Eye|Retina / glaucoma / refraction
H34,Retinal vascular occlusions,VII Eye|Retina / glaucoma / refraction
H35,Other retinal disorders,VII Eye|Retina / glaucoma / refraction
H36,Retinal disorders in diseases classified elsewhere,VII Eye|Retina / glaucoma / refraction
H40,Glaucoma,VII Eye|Retina / glaucoma / refraction
H43,Disorders of vitreous body,VII Eye|Retina / glaucoma / refraction
H44,Disorders of globe,VII Eye|Retina / glaucoma / refraction
H46,Optic neuritis,VII Eye|Retina / glaucoma / refraction
H47,Other disorders of optic [2nd] nerve and visual pathways,VII Eye|Retina / glaucoma / refraction
H49,Paralytic strabismus,VII Eye|Retina / glaucoma / refraction
H50,Other strabismus,VII Eye|Retina / glaucoma / refraction
H52,Disorders of refraction and accommodation,VII Eye|Retina / glaucoma / refraction
H53,Visual disturbances,VII Eye|Retina / glaucoma / refraction
H54,Blindness and low vision,VII Eye|Retina / glaucoma / refraction
H60,Otitis externa,VIII Ear|External / middle / inner
H65,Nonsuppurative otitis media,VIII Ear|External / middle / inner
H66,Suppurative and unspecified otitis media,VIII Ear|External / middle / inner
H68,Eustachian salpingitis and obstruction,VIII Ear|External / middle / inner
H70,Mastoiditis and related conditions,VIII Ear|External / middle / inner
H80,Otosclerosis,VIII Ear|External / middle / inner
H81,Disorders of vestibular function,VIII Ear|External / middle / inner
H83,Other diseases of inner ear,VIII Ear|External / middle / inner
H90,Conductive and sensorineural hearing loss,VIII Ear|External / middle / inner
H91,Other hearing loss,VIII Ear|External / middle / inner
H92,Otalgia and effusion of ear,VIII Ear|External / middle / inner
H93,Other disorders of ear NEC,VIII Ear|External / middle / inner
I00,Rheumatic fever without mention of heart involvement,IX Circulatory|Rheumatic / hypertensive / ischaemic
I01,Rheumatic fever with heart involvement,IX Circulatory|Rheumatic / hypertensive / ischaemic
I05,Rheumatic mitral valve diseases,IX Circulatory|Rheumatic / hypertensive / ischaemic
I06,Rheumatic aortic valve diseases,IX Circulatory|Rheumatic / hypertensive / ischaemic
I07,Rheumatic tricuspid valve diseases,IX Circulatory|Rheumatic / hypertensive / ischaemic
I08,Multiple valve diseases,IX Circulatory|Rheumatic / hypertensive / ischaemic
I10,Essential (primary) hypertension,IX Circulatory|Rheumatic / hypertensive / ischaemic
I11,Hypertensive heart disease,IX Circulatory|Rheumatic / hypertensive / ischaemic
I12,Hypertensive renal disease,IX Circulatory|Rheumatic / hypertensive / ischaemic
I13,Hypertensive heart and renal disease,IX Circulatory|Rheumatic / hypertensive / ischaemic
I15,Secondary hypertension,IX Circulatory|Rheumatic / hypertensive / ischaemic
I20,Angina pectoris,IX Circulatory|Rheumatic / hypertensive / ischaemic
I21,Acute myocardial infarction,IX Circulatory|Rheumatic / hypertensive / ischaemic
I22,Subsequent myocardial infarction,IX Circulatory|Rheumatic / hypertensive / ischaemic
I24,Other acute ischaemic heart diseases,IX Circulatory|Rheumatic / hypertensive / ischaemic
I25,Chronic ischaemic heart disease,IX Circulatory|Rheumatic / hypertensive / ischaemic
I26,Pulmonary embolism,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I27,Other pulmonary heart diseases,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I30,Acute pericarditis,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I31,Other diseases of pericardium,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I33,Acute and subacute endocarditis,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I34,Nonrheumatic mitral valve disorders,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I35,Nonrheumatic aortic valve disorders,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I36,Nonrheumatic tricuspid valve disorders,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I37,Pulmonary valve disorders,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I40,Acute myocarditis,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I42,Cardiomyopathy,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I44,Atrioventricular and left bundle-branch block,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I45,Other conduction disorders,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I46,Cardiac arrest,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I47,Paroxysmal tachycardia,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I48,Atrial fibrillation and flutter,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I49,Other cardiac arrhythmias,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I50,Heart failure,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I51,Complications / ill-defined descriptions of heart disease,IX Circulatory|Pulmonary / pericardial / endocardial / myocardial
I60,Subarachnoid haemorrhage,IX Circulatory|Cerebrovascular / arterial / venous
I61,Intracerebral haemorrhage,IX Circulatory|Cerebrovascular / arterial / venous
I62,Other nontraumatic intracranial haemorrhage,IX Circulatory|Cerebrovascular / arterial / venous
I63,Cerebral infarction,IX Circulatory|Cerebrovascular / arterial / venous
I64,"Stroke, not specified as haemorrhage or infarction",IX Circulatory|Cerebrovascular / arterial / venous
I65,Occlusion and stenosis of precerebral arteries,IX Circulatory|Cerebrovascular / arterial / venous
I67,Other cerebrovascular diseases,IX Circulatory|Cerebrovascular / arterial / venous
I69,Sequelae of cerebrovascular disease,IX Circulatory|Cerebrovascular / arterial / venous
I70,Atherosclerosis,IX Circulatory|Cerebrovascular / arterial / venous
I71,Aortic aneurysm and dissection,IX Circulatory|Cerebrovascular / arterial / venous
I72,Other aneurysm,IX Circulatory|Cerebrovascular / arterial / venous
I73,Other peripheral vascular diseases,IX Circulatory|Cerebrovascular / arterial / venous
I74,Arterial embolism and thrombosis,IX Circulatory|Cerebrovascular / arterial / venous
I80,Phlebitis and thrombophlebitis,IX Circulatory|Cerebrovascular / arterial / venous
I82,Other venous embolism and thrombosis,IX Circulatory|Cerebrovascular / arterial / venous
I83,Varicose veins of lower extremities,IX Circulatory|Cerebrovascular / arterial / venous
I84,Haemorrhoids,IX Circulatory|Cerebrovascular / arterial / venous
I85,Oesophageal varices,IX Circulatory|Cerebrovascular / arterial / venous
I86,Varicose veins of other sites,IX Circulatory|Cerebrovascular / arterial / venous
I87,Other disorders of veins,IX Circulatory|Cerebrovascular / arterial / venous
I88,Nonspecific lymphadenitis,IX Circulatory|Cerebrovascular / arterial / venous
I89,Other noninfective disorders of lymphatic vessels and lymph nodes,IX Circulatory|Cerebrovascular / arterial / venous
I95,Hypotension,IX Circulatory|Cerebrovascular / arterial / venous
I99,Other and unspecified disorders of circulatory system,IX Circulatory|Cerebrovascular / arterial / venous
J00,Acute nasopharyngitis [common cold],X Respiratory|Acute upper
J01,Acute sinusitis,X Respiratory|Acute upper
J02,Acute pharyngitis,X Respiratory|Acute upper
J03,Acute tonsillitis,X Respiratory|Acute upper
J04,Acute laryngitis and tracheitis,X Respiratory|Acute upper
J05,Acute obstructive laryngitis [croup] and epiglottitis,X Respiratory|Acute upper
J06,Acute upper respiratory infections of multiple / unspecified sites,X Respiratory|Acute upper
J09,Influenza due to identified zoonotic / pandemic strain,X Respiratory|Influenza / pneumonia / lower acute
J10,Influenza due to identified seasonal influenza virus,X Respiratory|Influenza / pneumonia / lower acute
J11,"Influenza, virus not identified",X Respiratory|Influenza / pneumonia / lower acute
J12,Viral pneumonia NEC,X Respiratory|Influenza / pneumonia / lower acute
J13,Pneumonia due to Streptococcus pneumoniae,X Respiratory|Influenza / pneumonia / lower acute
J14,Pneumonia due to Haemophilus influenzae,X Respiratory|Influenza / pneumonia / lower acute
J15,Bacterial pneumonia NEC,X Respiratory|Influenza / pneumonia / lower acute
J16,Pneumonia due to other infectious organisms NEC,X Respiratory|Influenza / pneumonia / lower acute
J17,Pneumonia in diseases classified elsewhere,X Respiratory|Influenza / pneumonia / lower acute
J18,"Pneumonia, organism unspecified",X Respiratory|Influenza / pneumonia / lower acute
J20,Acute bronchitis,X Respiratory|Influenza / pneumonia / lower acute
J21,Acute bronchiolitis,X Respiratory|Influenza / pneumonia / lower acute
J22,Unspecified acute lower respiratory infection,X Respiratory|Influenza / pneumonia / lower acute
J30,Vasomotor and allergic rhinitis,X Respiratory|Chronic lower / obstructive
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",X Respiratory|Chronic lower / obstructive
J32,Chronic sinusitis,X Respiratory|Chronic lower / obstructive
J35,Chronic diseases of tonsils and adenoids,X Respiratory|Chronic lower / obstructive
J40,"Bronchitis, not specified as acute or chronic",X Respiratory|Chronic lower / obstructive
J41,Simple and mucopurulent chronic bronchitis,X Respiratory|Chronic lower / obstructive
J42,Unspecified chronic bronchitis,X Respiratory|Chronic lower / obstructive
J43,Emphysema,X Respiratory|Chronic lower / obstructive
J44,Other chronic obstructive pulmonary disease,X Respiratory|Chronic lower / obstructive
J45,Asthma,X Respiratory|Chronic lower / obstructive
J46,Status asthmaticus,X Respiratory|Chronic lower / obstructive
J47,Bronchiectasis,X Respiratory|Chronic lower / obstructive
J60,Coalworker pneumoconiosis,X Respiratory|Chronic lower / obstructive
J61,Pneumoconiosis due to asbestos and other mineral fibres,X Respiratory|Chronic lower / obstructive
J62,Pneumoconiosis due to dust containing silica,X Respiratory|Chronic lower / obstructive
J63,Pneumoconiosis due to other inorganic dusts,X Respiratory|Chronic lower / obstructive
J67,Hypersensitivity pneumonitis due to organic dust,X Respiratory|Chronic lower / obstructive
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",X Respiratory|Chronic lower / obstructive
J80,Adult respiratory distress syndrome,X Respiratory|Chronic lower / obstructive
J81,Pulmonary oedema,X Respiratory|Chronic lower / obstructive
J84,Other interstitial pulmonary diseases,X Respiratory|Chronic lower / obstructive
J85,Abscess of lung and mediastinum,X Respiratory|Chronic lower / obstructive
J86,Pyothorax,X Respiratory|Chronic lower / obstructive
J90,Pleural effusion NEC,X Respiratory|Chronic lower / obstructive
J91,Pleural effusion in conditions classified elsewhere,X Respiratory|Chronic lower / obstructive
J93,Pneumothorax,X Respiratory|Chronic lower / obstructive
J94,Other pleural conditions,X Respiratory|Chronic lower / obstructive
J96,Respiratory failure NEC,X Respiratory|Chronic lower / obstructive
J98,Other respiratory disorders,X Respiratory|Chronic lower / obstructive
K00,Disorders of tooth development and eruption,XI Digestive|Oral / oesophagus / stomach / duodenum
K02,Dental caries,XI Digestive|Oral / oesophagus / stomach / duodenum
K04,Diseases of pulp and periapical tissues,XI Digestive|Oral / oesophagus / stomach / duodenum
K05,Gingivitis and periodontal diseases,XI Digestive|Oral / oesophagus / stomach / duodenum
K07,Dentofacial anomalies including malocclusion,XI Digestive|Oral / oesophagus / stomach / duodenum
K11,Diseases of salivary glands,XI Digestive|Oral / oesophagus / stomach / duodenum
K12,Stomatitis and related lesions,XI Digestive|Oral / oesophagus / stomach / duodenum
K13,Other diseases of lip and oral mucosa,XI Digestive|Oral / oesophagus / stomach / duodenum
K14,Diseases of tongue,XI Digestive|Oral / oesophagus / stomach / duodenum
K20,Oesophagitis,XI Digestive|Oral / oesophagus / stomach / duodenum
K21,Gastro-oesophageal reflux disease,XI Digestive|Oral / oesophagus / stomach / duodenum
K22,Other diseases of oesophagus,XI Digestive|Oral / oesophagus / stomach / duodenum
K25,Gastric ulcer,XI Digestive|Oral / oesophagus / stomach / duodenum
K26,Duodenal ulcer,XI Digestive|Oral / oesophagus / stomach / duodenum
K27,"Peptic ulcer, site unspecified",XI Digestive|Oral / oesophagus / stomach / duodenum
K28,Gastrojejunal ulcer,XI Digestive|Oral / oesophagus / stomach / duodenum
K29,Gastritis and duodenitis,XI Digestive|Oral / oesophagus / stomach / duodenum
K30,Functional dyspepsia,XI Digestive|Oral / oesophagus / stomach / duodenum
K35,Acute appendicitis,XI Digestive|Bowel / hernias / IBD
K36,Other appendicitis,XI Digestive|Bowel / hernias / IBD
K37,Unspecified appendicitis,XI Digestive|Bowel / hernias / IBD
K38,Other diseases of appendix,XI Digestive|Bowel / hernias / IBD
K40,Inguinal hernia,XI Digestive|Bowel / hernias / IBD
K41,Femoral hernia,XI Digestive|Bowel / hernias / IBD
K42,Umbilical hernia,XI Digestive|Bowel / hernias / IBD
K43,Ventral hernia,XI Digestive|Bowel / hernias / IBD
K44,Diaphragmatic hernia,XI Digestive|Bowel / hernias / IBD
K50,Crohn disease [regional enteritis],XI Digestive|Bowel / hernias / IBD
K51,Ulcerative colitis,XI Digestive|Bowel / hernias / IBD
K52,Other and unspecified noninfective gastroenteritis and colitis,XI Digestive|Bowel / hernias / IBD
K55,Vascular disorders of intestine,XI Digestive|Bowel / hernias / IBD
K56,Paralytic ileus and intestinal obstruction without hernia,XI Digestive|Bowel / hernias / IBD
K57,Diverticular disease of intestine,XI Digestive|Bowel / hernias / IBD
K58,Irritable bowel syndrome,XI Digestive|Bowel / hernias / IBD
K59,Other functional intestinal disorders,XI Digestive|Bowel / hernias / IBD
K60,Fissure and fistula of anal and rectal regions,XI Digestive|Bowel / hernias / IBD
K61,Abscess of anal and rectal regions,XI Digestive|Bowel / hernias / IBD
K62,Other diseases of anus and rectum,XI Digestive|Bowel / hernias / IBD
K63,Other diseases of intestine,XI Digestive|Bowel / hernias / IBD
K64,Haemorrhoids and perianal venous thrombosis,XI Digestive|Bowel / hernias / IBD
K65,Peritonitis,XI Digestive|Bowel / hernias / IBD
K66,Other disorders of peritoneum,XI Digestive|Bowel / hernias / IBD
K70,Alcoholic liver disease,XI Digestive|Liver / gallbladder / pancreas
K71,Toxic liver disease,XI Digestive|Liver / gallbladder / pancreas
K72,Hepatic failure NEC,XI Digestive|Liver / gallbladder / pancreas
K73,Chronic hepatitis NEC,XI Digestive|Liver / gallbladder / pancreas
K74,Fibrosis and cirrhosis of liver,XI Digestive|Liver / gallbladder / pancreas
K75,Other inflammatory liver diseases,XI Digestive|Liver / gallbladder / pancreas
K76,Other diseases of liver,XI Digestive|Liver / gallbladder / pancreas
K80,Cholelithiasis,XI Digestive|Liver / gallbladder / pancreas
K81,Cholecystitis,XI Digestive|Liver / gallbladder / pancreas
K82,Other diseases of gallbladder,XI Digestive|Liver / gallbladder / pancreas
K83,Other diseases of biliary tract,XI Digestive|Liver / gallbladder / pancreas
K85,Acute pancreatitis,XI Digestive|Liver / gallbladder / pancreas
K86,Other diseases of pancreas,XI Digestive|Liver / gallbladder / pancreas
K90,Intestinal malabsorption,XI Digestive|Liver / gallbladder / pancreas
K91,Postprocedural digestive disorders NEC,XI Digestive|Liver / gallbladder / pancreas
K92,Other diseases of digestive system,XI Digestive|Liver / gallbladder / pancreas
L00,Staphylococcal scalded skin syndrome,XII Skin|Skin and subcutaneous
L01,Impetigo,XII Skin|Skin and subcutaneous
L02,"Cutaneous abscess, furuncle and carbuncle",XII Skin|Skin and subcutaneous
L03,Cellulitis,XII Skin|Skin and subcutaneous
L08,Other local infections of skin and subcutaneous tissue,XII Skin|Skin and subcutaneous
L10,Pemphigus,XII Skin|Skin and subcutaneous
L12,Pemphigoid,XII Skin|Skin and subcutaneous
L20,Atopic dermatitis,XII Skin|Skin and subcutaneous
L21,Seborrhoeic dermatitis,XII Skin|Skin and subcutaneous
L22,Diaper dermatitis,XII Skin|Skin and subcutaneous
L23,Allergic contact dermatitis,XII Skin|Skin and subcutaneous
L24,Irritant contact dermatitis,XII Skin|Skin and subcutaneous
L25,Unspecified contact dermatitis,XII Skin|Skin and subcutaneous
L27,Dermatitis due to substances taken internally,XII Skin|Skin and subcutaneous
L28,Lichen simplex chronicus and prurigo,XII Skin|Skin and subcutaneous
L29,Pruritus,XII Skin|Skin and subcutaneous
L30,Other dermatitis,XII Skin|Skin and subcutaneous
L40,Psoriasis,XII Skin|Skin and subcutaneous
L43,Lichen planus,XII Skin|Skin and subcutaneous
L50,Urticaria,XII Skin|Skin and subcutaneous
L51,Erythema multiforme,XII Skin|Skin and subcutaneous
L53,Other erythematous conditions,XII Skin|Skin and subcutaneous
L55,Sunburn,XII Skin|Skin and subcutaneous
L56,Other acute skin changes due to ultraviolet radiation,XII Skin|Skin and subcutaneous
L60,Nail disorders,XII Skin|Skin and subcutaneous
L63,Alopecia areata,XII Skin|Skin and subcutaneous
L65,Other nonscarring hair loss,XII Skin|Skin and subcutaneous
L70,Acne,XII Skin|Skin and subcutaneous
L71,Rosacea,XII Skin|Skin and subcutaneous
L73,Other follicular disorders,XII Skin|Skin and subcutaneous
L80,Vitiligo,XII Skin|Skin and subcutaneous
L81,Other disorders of pigmentation,XII Skin|Skin and subcutaneous
L82,Seborrhoeic keratosis,XII Skin|Skin and subcutaneous
L83,Acanthosis nigricans,XII Skin|Skin and subcutaneous
L84,Corns and callosities,XII Skin|Skin and subcutaneous
L85,Other epidermal thickening,XII Skin|Skin and subcutaneous
L89,Decubitus ulcer and pressure area,XII Skin|Skin and subcutaneous
L90,Atrophic disorders of skin,XII Skin|Skin and subcutaneous
L92,Granulomatous disorders of skin and subcutaneous tissue,XII Skin|Skin and subcutaneous
L93,Lupus erythematosus,XII Skin|Skin and subcutaneous
L94,Other localized connective tissue disorders,XII Skin|Skin and subcutaneous
L98,Other disorders of skin and subcutaneous tissue NEC,XII Skin|Skin and subcutaneous
M00,Pyogenic arthritis,XIII Musculoskeletal|Arthropathies
M02,Reactive arthropathies,XIII Musculoskeletal|Arthropathies
M05,Seropositive rheumatoid arthritis,XIII Musculoskeletal|Arthropathies
M06,Other rheumatoid arthritis,XIII Musculoskeletal|Arthropathies
M07,Psoriatic and enteropathic arthropathies,XIII Musculoskeletal|Arthropathies
M08,Juvenile arthritis,XIII Musculoskeletal|Arthropathies
M10,Gout,XIII Musculoskeletal|Arthropathies
M11,Other crystal arthropathies,XIII Musculoskeletal|Arthropathies
M13,Other arthritis,XIII Musculoskeletal|Arthropathies
M15,Polyarthrosis,XIII Musculoskeletal|Arthropathies
M16,Coxarthrosis [arthrosis of hip],XIII Musculoskeletal|Arthropathies
M17,Gonarthrosis [arthrosis of knee],XIII Musculoskeletal|Arthropathies
M18,Arthrosis of first carpometacarpal joint,XIII Musculoskeletal|Arthropathies
M19,Other arthrosis,XIII Musculoskeletal|Arthropathies
M30,Polyarteritis nodosa and related conditions,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M31,Other necrotizing vasculopathies,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M32,Systemic lupus erythematosus,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M33,Dermatopolymyositis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M34,Systemic sclerosis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M35,Other systemic involvement of connective tissue,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M40,Kyphosis and lordosis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M41,Scoliosis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M42,Spinal osteochondrosis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M43,Other deforming dorsopathies,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M45,Ankylosing spondylitis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M46,Other inflammatory spondylopathies,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M47,Spondylosis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M48,Other spondylopathies,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M50,Cervical disc disorders,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M51,Other intervertebral disc disorders,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M53,Other dorsopathies NEC,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M54,Dorsalgia,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M60,Myositis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M62,Other disorders of muscle,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M65,Synovitis and tenosynovitis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M70,"Soft tissue disorders related to use, overuse and pressure",XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M75,Shoulder lesions,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M77,Other enthesopathies,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M79,Other soft tissue disorders NEC,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M80,Osteoporosis with pathological fracture,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M81,Osteoporosis without pathological fracture,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M83,Adult osteomalacia,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M84,Disorders of continuity of bone,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M85,Other disorders of bone density and structure,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M86,Osteomyelitis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M87,Osteonecrosis,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M89,Other disorders of bone,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M93,Other osteochondropathies,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M94,Other disorders of cartilage,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
M95,Other acquired deformities of musculoskeletal system,XIII Musculoskeletal|Connective tissue / dorsopathies / soft tissue / bone
N00,Acute nephritic syndrome,XIV Genitourinary|Renal / urinary
N01,Rapidly progressive nephritic syndrome,XIV Genitourinary|Renal / urinary
N02,Recurrent and persistent haematuria,XIV Genitourinary|Renal / urinary
N03,Chronic nephritic syndrome,XIV Genitourinary|Renal / urinary
N04,Nephrotic syndrome,XIV Genitourinary|Renal / urinary
N05,Unspecified nephritic syndrome,XIV Genitourinary|Renal / urinary
N10,Acute tubulo-interstitial nephritis,XIV Genitourinary|Renal / urinary
N11,Chronic tubulo-interstitial nephritis,XIV Genitourinary|Renal / urinary
N12,Tubulo-interstitial nephritis NEC,XIV Genitourinary|Renal / urinary
N13,Obstructive and reflux uropathy,XIV Genitourinary|Renal / urinary
N14,Drug- and heavy-metal-induced tubulo-interstitial / tubular conditions,XIV Genitourinary|Renal / urinary
N15,Other renal tubulo-interstitial diseases,XIV Genitourinary|Renal / urinary
N17,Acute renal failure,XIV Genitourinary|Renal / urinary
N18,Chronic kidney disease,XIV Genitourinary|Renal / urinary
N19,Unspecified kidney failure,XIV Genitourinary|Renal / urinary
N20,Calculus of kidney and ureter,XIV Genitourinary|Renal / urinary
N21,Calculus of lower urinary tract,XIV Genitourinary|Renal / urinary
N23,Unspecified renal colic,XIV Genitourinary|Renal / urinary
N25,Disorders resulting from impaired renal tubular function,XIV Genitourinary|Renal / urinary
N28,Other disorders of kidney and ureter NEC,XIV Genitourinary|Renal / urinary
N30,Cystitis,XIV Genitourinary|Renal / urinary
N31,Neuromuscular dysfunction of bladder,XIV Genitourinary|Renal / urinary
N32,Other disorders of bladder,XIV Genitourinary|Renal / urinary
N34,Urethritis and urethral syndrome,XIV Genitourinary|Renal / urinary
N35,Urethral stricture,XIV Genitourinary|Renal / urinary
N36,Other disorders of urethra,XIV Genitourinary|Renal / urinary
N39,Other disorders of urinary system,XIV Genitourinary|Renal / urinary
N40,Hyperplasia of prostate,XIV Genitourinary|Male and female reproductive
N41,Inflammatory diseases of prostate,XIV Genitourinary|Male and female reproductive
N42,Other disorders of prostate,XIV Genitourinary|Male and female reproductive
N43,Hydrocele and spermatocele,XIV Genitourinary|Male and female reproductive
N45,Orchitis and epididymitis,XIV Genitourinary|Male and female reproductive
N46,Male infertility,XIV Genitourinary|Male and female reproductive
